N,A,B,C,seed,Z_est,Z_std,rel_error,time_seconds
100000,5,5,4000,11,0.013503070847277232,0.0073847691705483925,0.9865579156270519,1.2604339122772217
100000,5,5,4000,23,0.006781913813419573,0.009151134529304893,0.9932487166274159,1.2976760864257812
100000,5,5,4000,42,0.013445532249877643,0.007513429385663868,0.9866151943519947,1.3146400451660156
100000,5,5,4000,77,0.013503070847277232,0.0073847691705483925,0.9865579156270519,1.2321510314941406
100000,5,5,4000,101,0.0034207862599345425,0.007483421642143788,0.9965946636844364,1.2415931224822998
100000,5,10,2000,11,0.008810071168948554,0.008499874254401133,0.9912297194227812,1.0016992092132568
100000,5,10,2000,23,0.006869163203181058,0.00855240565842876,0.9931618612985853,1.0001070499420166
100000,5,10,2000,42,0.006782346119626703,0.008627394945829139,0.9932482862737151,0.9975490570068359
100000,5,10,2000,77,0.00849167849083036,0.008764314537352038,0.9915466740837914,1.007148027420044
100000,5,10,2000,101,0.011851786260928138,0.007976462351986771,0.9882017422043174,0.9992239475250244
100000,5,20,1000,11,0.00513131719930044,0.007842138025980815,0.9948918583396705,0.8805050849914551
100000,5,20,1000,23,0.00847703880284445,0.008545606361687805,0.9915612476517838,0.8882439136505127
100000,5,20,1000,42,0.005942338397414219,0.008179313247327425,0.99408450011008,0.8774168491363525
100000,5,20,1000,77,0.003465411130766575,0.006844655775649076,0.9965502403613538,0.8804337978363037
100000,5,20,1000,101,0.007637031602020237,0.008509467071197494,0.9923974609691153,0.8872861862182617
100000,5,25,800,11,0.004824231410162626,0.007626800627131576,0.9951975571791428,0.85614013671875
100000,5,25,800,23,0.007454672830192422,0.008460324256065695,0.9925789961195104,0.8549942970275879
100000,5,25,800,42,0.0068178466443427664,0.008323925879333435,0.9932129460867373,0.8538460731506348
100000,5,25,800,77,0.00748921178199236,0.008429124932372613,0.992544613162515,0.8690690994262695
100000,5,25,800,101,0.008279312250962127,0.008382962331821371,0.99175808117382,0.9050407409667969
100000,5,50,400,11,0.006139735489174985,0.008081473953672475,0.9938879945601621,0.8063879013061523
100000,5,50,400,23,0.018725746218699792,0.0664494077913166,0.9813588284128026,0.801145076751709
100000,5,50,400,42,0.0072404676368032495,0.008244110044546123,0.9927922338574463,0.8160209655761719
100000,5,50,400,77,0.012511017691400126,0.03540171592417556,0.9875454881855146,0.8046731948852539
100000,5,50,400,101,0.007141715802119492,0.008307871576988632,0.9928905396805301,0.8051681518554688
100000,5,100,200,11,0.0064952692291231386,0.008121364298229017,0.9935340665845286,0.7840278148651123
100000,5,100,200,23,0.007114720817099689,0.017295489185284573,0.9929174127429903,0.7854747772216797
100000,5,100,200,42,0.006292667872504415,0.008098054561894196,0.9937357528942982,0.7791481018066406
100000,5,100,200,77,0.010138105257823802,0.02430583307656847,0.9899076833855925,0.7815279960632324
100000,5,100,200,101,0.011456763513089704,0.039482733437526805,0.9885949808361616,0.78774094581604
100000,5,200,100,11,0.0045885311895676175,0.007449389777608087,0.9954321928622252,0.7754919528961182
100000,5,200,100,23,0.08643894794379475,1.1881811390727535,0.913951452635409,0.7670919895172119
100000,5,200,100,42,0.03724282104960039,0.4829664064577264,0.9629253857513246,0.7644526958465576
100000,5,200,100,77,0.0035859248217112467,0.006836350861033779,0.9964302709691988,0.7716872692108154
100000,5,200,100,101,0.0036645223708998433,0.006895356816129893,0.9963520284049963,0.7791397571563721
100000,10,5,2000,11,0.09576800778075639,0.1534463952916588,0.9046645273969175,1.3950042724609375
100000,10,5,2000,23,2.3138391063055948,5.107250710833839,1.3033886768548153,1.3989198207855225
100000,10,5,2000,42,0.11227738975928128,0.23453257728454732,0.8882297098646292,1.4191710948944092
100000,10,5,2000,77,0.5619552987777545,0.9188423404713273,0.44058276628837933,1.4099459648132324
100000,10,5,2000,101,0.22242357888132358,0.49526169184894253,0.7785809948217289,1.3884859085083008
100000,10,10,1000,11,0.4047456701261825,0.8533530298180522,0.5970823593420875,1.1197760105133057
100000,10,10,1000,23,7.523231222446438,23.462139849584666,6.489252629502001,1.1187059879302979
100000,10,10,1000,42,1.3711046419888406,3.59691614126621,0.3649120626121274,1.1180038452148438
100000,10,10,1000,77,114.809645123629,361.95696759641083,113.29110859558612,1.1273698806762695
100000,10,10,1000,101,0.324948936289183,0.502413839170548,0.6765186920884954,1.116898775100708
100000,10,20,500,11,12.40776860150619,55.140501433967934,11.351729047996061,0.9823918342590332
100000,10,20,500,23,0.42380762423004575,0.8474789023694979,0.5781064983490259,0.9826259613037109
100000,10,20,500,42,12.427318546305628,55.13597117657133,11.371190695679967,0.9830219745635986
100000,10,20,500,77,13.303694766550034,54.99018038535092,12.243608772146336,0.9825561046600342
100000,10,20,500,101,0.9780650264022117,2.581916502592083,0.026352393775724,0.9857327938079834
100000,10,25,400,11,20.587038591290135,68.08348445455532,19.494057452795047,0.9988300800323486
100000,10,25,400,23,5.907557076760651,26.98600190821802,4.88087565872735,1.6626050472259521
100000,10,25,400,42,1.1948370440950995,2.975248193141394,0.1894405754294668,1.0622918605804443
100000,10,25,400,77,10.217971934974523,49.279476702981356,9.171822574569342,1.0175490379333496
100000,10,25,400,101,0.043801776741535535,0.10505098093673619,0.956396053512266,0.9707362651824951
100000,10,50,200,11,10.236026182911555,48.780572640548655,9.189795280689642,0.9890906810760498
100000,10,50,200,23,0.5317860741327053,1.7132566078684677,0.47061573195462636,0.9433071613311768
100000,10,50,200,42,0.2802955004479564,0.6039072317897631,0.7209704511667517,0.9206209182739258
100000,10,50,200,77,0.8924694522481638,2.2426324361171397,0.11156137643922356,0.9084951877593994
100000,10,50,200,101,5.243271072609589,34.877447785688794,4.219589895173225,0.9074890613555908
100000,10,100,100,11,6.132138677572335,35.00302197920453,5.104442939153131,0.8788480758666992
100000,10,100,100,23,12.997456318355102,53.92578435723598,11.938753446610734,0.8743350505828857
100000,10,100,100,42,2.957378537637962,24.698117984236905,1.9440215692633627,0.8759768009185791
100000,10,100,100,77,2.838401175957305,24.68502283796589,1.8255815675577771,0.8736538887023926
100000,10,100,100,101,7.6878889692348125,42.258131484727976,6.653166701347011,0.8744969367980957
100000,10,200,50,11,5.274106269861879,34.61165431336498,4.250285825588592,0.8625569343566895
100000,10,200,50,23,1.489514051150143,17.482734209215813,0.4827866769498068,0.8609352111816406
100000,10,200,50,42,2.9556352080833226,24.814400072919458,1.9422861134379168,0.8608231544494629
100000,10,200,50,77,1.5733477301959204,17.510953266256276,0.5662417220853526,0.870621919631958
100000,10,200,50,101,4.1282716902018555,30.060843901301602,3.109626395490337,0.8588948249816895
100000,20,5,1000,11,8.067256343606122,11.445658232647462,7.030820667050021,1.4867048263549805
100000,20,5,1000,23,8.060387773669422,6.258200476351776,7.023983118935606,1.4558990001678467
100000,20,5,1000,42,0.6260876921850581,0.8375302679579779,0.37674002614650215,1.4602601528167725
100000,20,5,1000,77,2.0951354989624753,4.278686102479011,1.0856728420032842,1.460728645324707
