N,A,B,C,seed,Z_est,Z_std,rel_error,time_seconds
100000,20,5,1000,11,0.8570084401548902,1.7857314572992897,0.1468623075131783,1.8473730087280273
100000,20,5,1000,23,0.35304594486481405,0.4328207025557058,0.6485486155896426,1.8337159156799316
100000,20,5,1000,42,0.0019369147562011974,0.004170414324021683,0.99807183347535,1.841775894165039
100000,20,5,1000,77,15.844508467401818,35.32235288639038,14.772945468336369,2.063065767288208
100000,20,5,1000,101,0.2673283017386387,0.46268775139288576,0.7338791080744741,2.7097299098968506
100000,20,10,500,11,12.750498942741958,40.15007593813334,11.69291028697515,2.641911745071411
100000,20,10,500,23,0.09632626845926288,0.20893978042541028,0.9041087968931216,2.209582805633545
100000,20,10,500,42,0.6568230716734702,1.7895512672259364,0.3461435226491647,2.4275450706481934
100000,20,10,500,77,10.703043733273194,33.139957664945975,9.654702573920883,2.7283530235290527
100000,20,10,500,101,0.6767368937499223,2.0468017885036427,0.32631964295455285,2.590038776397705
100000,20,20,250,11,0.11112530286435392,0.2768093789719849,0.889376603519261,2.178248882293701
100000,20,20,250,23,0.10779791642613075,0.3103034749428551,0.8926889615485525,1.8949410915374756
100000,20,20,250,42,0.08183314558753188,0.21063630410101633,0.9185364604077094,2.1057629585266113
100000,20,20,250,77,0.7594421887990952,2.726850147418999,0.24398789303393278,2.3722610473632812
100000,20,20,250,101,0.05665378510363831,0.16840156287686284,0.9436020962813076,1.359295129776001
100000,20,25,200,11,1.174189049907959,3.183039280365346,0.1688857304610918,1.0989670753479004
100000,20,25,200,23,0.27720214869916915,1.1059414224812123,0.7240498571392645,1.1031010150909424
100000,20,25,200,42,0.20485827678729224,0.6653095368178772,0.7960669821249954,1.096022129058838
100000,20,25,200,77,0.22362044480944218,0.6630612000238436,0.777389554946362,1.1229922771453857
100000,20,25,200,101,0.3175821702272975,1.4716460275973733,0.6838522152317363,2.2149040699005127
100000,20,50,100,11,0.03194436266618651,0.10911998605174801,0.9681999166215131,2.056074857711792
100000,20,50,100,23,0.04118595820847609,0.10149994286201747,0.9590000614900741,2.598245859146118
100000,20,50,100,42,2.63076636250251,14.867574774002021,1.618884294268679,3.604606866836548
100000,20,50,100,77,0.17450629550330288,1.0089357532108296,0.826281876240094,3.1377792358398438
100000,20,50,100,101,0.384651465544109,2.0947406487354194,0.6170858437909132,1.372715950012207
100000,20,100,50,11,3.3445966242637706,18.943334895341902,2.3294904841402744,0.963109016418457
100000,20,100,50,23,0.2128101200942338,1.4006118177971267,0.7881510539590196,0.9656589031219482
100000,20,100,50,42,0.6421574265415185,5.946767673185444,0.36074292921328505,1.056732177734375
100000,20,100,50,77,0.9766428746984136,8.966410146712628,0.02776821153206899,1.189054250717163
100000,20,100,50,101,0.32514362914199585,3.1573239623873306,0.6763249082554437,0.967663049697876
