schedule,A,B,C,trial,beta_idx,beta_mid,beta_left,beta_right,delta_beta,true_ratio,step_error,step_error_metric,E_L1,E_L2,Z1_log_error
Linear,200,40,50,0,0,0.002512562814070352,0.0,0.005025125628140704,0.005025125628140704,0.6057111031639847,30.921959647634054,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,1,0.007537688442211055,0.005025125628140704,0.010050251256281407,0.005025125628140704,0.6093704945850715,29.492884531175577,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,2,0.012562814070351758,0.010050251256281407,0.01507537688442211,0.005025125628140703,0.6131668885774811,29.271917615069,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,3,0.017587939698492462,0.01507537688442211,0.020100502512562814,0.0050251256281407045,0.617101581665824,26.984051698777265,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,4,0.022613065326633167,0.020100502512562814,0.02512562814070352,0.0050251256281407045,0.6211758999491288,26.800279872522637,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,5,0.02763819095477387,0.02512562814070352,0.03015075376884422,0.005025125628140701,0.625391313262267,25.176374482547573,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,6,0.032663316582914576,0.03015075376884422,0.035175879396984924,0.0050251256281407045,0.6297495858409324,23.81121733133483,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,7,0.03768844221105527,0.035175879396984924,0.04020100502512563,0.0050251256281407045,0.6342529730184275,21.822133961133773,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,8,0.042713567839195984,0.04020100502512563,0.04522613065326633,0.0050251256281407045,0.6389044761216441,20.61380277833912,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,9,0.04773869346733668,0.04522613065326633,0.05025125628140704,0.0050251256281407045,0.6437081708639487,18.583898686570123,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,10,0.05276381909547739,0.05025125628140704,0.05527638190954774,0.0050251256281407045,0.6486696279790601,17.935547790597155,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,11,0.05778894472361809,0.05527638190954774,0.06030150753768844,0.0050251256281406975,0.65379644818148,18.4738413420705,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,12,0.06281407035175879,0.06030150753768844,0.06532663316582915,0.005025125628140711,0.6590989359639658,15.443848749740113,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,13,0.0678391959798995,0.06532663316582915,0.07035175879396985,0.0050251256281406975,0.6645909368517411,14.590037558769552,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,14,0.07286432160804021,0.07035175879396985,0.07537688442211056,0.005025125628140711,0.6702908582887768,13.744867699010797,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,15,0.07788944723618091,0.07537688442211056,0.08040201005025126,0.0050251256281406975,0.6762228819666632,13.24796805028835,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,16,0.0829145728643216,0.08040201005025126,0.08542713567839195,0.0050251256281406975,0.6824183503531756,11.68552544079833,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,17,0.0879396984924623,0.08542713567839195,0.09045226130653267,0.005025125628140711,0.6889172661580437,12.395779888666581,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,18,0.09296482412060302,0.09045226130653267,0.09547738693467336,0.0050251256281406975,0.6957697730624184,9.98589780473445,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,19,0.09798994974874373,0.09547738693467336,0.10050251256281408,0.005025125628140711,0.7030373820688337,11.553021902392075,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,20,0.10301507537688442,0.10050251256281408,0.10552763819095477,0.0050251256281406975,0.7107935667574311,6.290400484750499,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,21,0.10804020100502512,0.10552763819095477,0.11055276381909548,0.005025125628140711,0.7191231791673621,11.34407284736536,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,22,0.11306532663316583,0.11055276381909548,0.11557788944723618,0.0050251256281406975,0.7281199633231589,5.739755199262532,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,23,0.11809045226130653,0.11557788944723618,0.12060301507537688,0.0050251256281406975,0.7378813275453224,0.07275888537800768,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,24,0.12311557788944723,0.12060301507537688,0.12562814070351758,0.0050251256281406975,0.7484995876288013,5.0995707189916075,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,25,0.12814070351758794,0.12562814070351758,0.1306532663316583,0.005025125628140725,0.7600492599307752,6.500219363555736,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
Linear,200,40,50,0,26,0.13316582914572866,0.1306532663316583,0.135678391959799,0.0050251256281406975,0.7725708125661501,4.85319531728603,density_abs,4.434091906193649,7.168360309282116,2.5584149866637027
