A,B,C,trial,beta_idx,beta,true_ratio,est_ratio,geom_error_ratio
200,10,50,0,0,0.0,0.6057111031639847,,0.1542287531822792
200,10,50,0,1,0.005025125628140704,0.6093704945850715,,0.14820544990540485
200,10,50,0,2,0.010050251256281407,0.6131668885774811,,0.14199475034265402
200,10,50,0,3,0.01507537688442211,0.617101581665824,,0.1421216363426101
200,10,50,0,4,0.020100502512562814,0.6211758999491288,,0.14727124371070938
200,10,50,0,5,0.02512562814070352,0.625391313262267,,0.12225434309233052
200,10,50,0,6,0.03015075376884422,0.6297495858409324,,0.11530964055258008
200,10,50,0,7,0.035175879396984924,0.6342529730184275,,0.10818401220521029
200,10,50,0,8,0.04020100502512563,0.6389044761216441,,0.10087694456340768
200,10,50,0,9,0.04522613065326633,0.6437081708639487,,0.09338642556065396
200,10,50,0,10,0.05025125628140704,0.6486696279790601,,0.08570835883154859
200,10,50,0,11,0.05527638190954774,0.65379644818148,,0.08499924973101153
200,10,50,0,12,0.06030150753768844,0.6590989359639658,,0.08055257646890573
200,10,50,0,13,0.06532663316582915,0.6645909368517411,,0.06146017929833386
200,10,50,0,14,0.07035175879396985,0.6702908582887768,,0.05944354969629856
200,10,50,0,15,0.07537688442211056,0.6762228819666632,,0.0643827001677007
200,10,50,0,16,0.08040201005025126,0.6824183503531756,,0.09320762873982502
200,10,50,0,17,0.08542713567839195,0.6889172661580437,,0.06657242095169197
200,10,50,0,18,0.09045226130653267,0.6957697730624184,,0.047717151293740656
200,10,50,0,19,0.09547738693467336,0.7030373820688337,,0.09122754924498944
200,10,50,0,20,0.10050251256281408,0.7107935667574311,,0.0415235695472993
200,10,50,0,21,0.10552763819095477,0.7191231791673621,,0.057260840523229606
200,10,50,0,22,0.11055276381909548,0.7281199633231589,,0.019317359034686787
200,10,50,0,23,0.11557788944723618,0.7378813275453224,,0.0026021378586336685
200,10,50,0,24,0.12060301507537688,0.7484995876288013,,0.015180628863786905
200,10,50,0,25,0.12562814070351758,0.7600492599307752,,0.008971472592109953
200,10,50,0,26,0.1306532663316583,0.7725708125661501,,0.03471932150553875
200,10,50,0,27,0.135678391959799,0.7860526128978053,,0.032703563693944865
200,10,50,0,28,0.1407035175879397,0.8004144185826654,,0.042190325527868805
200,10,50,0,29,0.1457286432160804,0.8154970523530508,,0.07007578032433412
200,10,50,0,30,0.15075376884422112,0.8310630025112562,,0.043994701660925645
200,10,50,0,31,0.15577889447236182,0.8468108796698062,,0.02610567888687229
200,10,50,0,32,0.16080402010050251,0.8624030100471005,,0.050699842857828206
200,10,50,0,33,0.1658291457286432,0.8775011915907448,,0.04070362966307689
200,10,50,0,34,0.1708542713567839,0.8918027346502614,,0.03774085388745935
200,10,50,0,35,0.17587939698492464,0.9050688523062218,,0.0005378247484365412
200,10,50,0,36,0.18090452261306533,0.9171402636302849,,0.0038338515336883566
200,10,50,0,37,0.18592964824120603,0.927939048881756,,0.00662492306576859
200,10,50,0,38,0.19095477386934673,0.9374594242383194,,0.03795254502878757
200,10,50,0,39,0.19597989949748745,0.9457519641053523,,0.04237177713481487
200,10,50,0,40,0.20100502512562815,0.9529057992777289,,0.00910068905586603
200,10,50,0,41,0.20603015075376885,0.9590321411234898,,0.016083626297202863
200,10,50,0,42,0.21105527638190955,0.9642509622600932,,0.01065662084354782
200,10,50,0,43,0.21608040201005024,0.9686813796785515,,0.03739962723332806
200,10,50,0,44,0.22110552763819097,0.9724354611598848,,0.05304242286798749
200,10,50,0,45,0.22613065326633167,0.9756147855437836,,0.09196278956480052
200,10,50,0,46,0.23115577889447236,0.9783090013551178,,0.02852848136240034
200,10,50,0,47,0.23618090452261306,0.980595708790655,,0.006191864314168741
200,10,50,0,48,0.24120603015075376,0.982541135349978,,0.004209906508264369
200,10,50,0,49,0.24623115577889448,0.9842012256346926,,0.010704352617449411
200,10,50,0,50,0.25125628140703515,0.9856228933781,,0.0010782970471624204
200,10,50,0,51,0.2562814070351759,0.9868452806192066,,0.00016115250514022773
200,10,50,0,52,0.2613065326633166,0.9879009369907135,,0.012727349072488747
200,10,50,0,53,0.2663316582914573,0.9888168769825217,,0.015383133579268621
200,10,50,0,54,0.271356783919598,0.9896155009230472,,0.0029643673665192705
200,10,50,0,55,0.2763819095477387,0.9903153815873783,,0.0036713422409091496
200,10,50,0,56,0.2814070351758794,0.9909319268523773,,0.004293723184746722
200,10,50,0,57,0.2864321608040201,0.9914779325649831,,0.004844573679984388
200,10,50,0,58,0.2914572864321608,0.9919640407258914,,0.005334739943668751
200,10,50,0,59,0.2964824120603015,0.9923991174815427,,0.018117146672584895
200,10,50,0,60,0.30150753768844224,0.9927905640498169,,0.006167612047569959
200,10,50,0,61,0.3065326633165829,0.9931445720479182,,0.006524127218097344
200,10,50,0,62,0.31155778894472363,0.9934663330092343,,0.006848056743814055
200,10,50,0,63,0.3165829145728643,0.9937602103069045,,0.007143823022501543
200,10,50,0,64,0.32160804020100503,0.9940298803073494,,0.007415149460209979
200,10,50,0,65,0.32663316582914576,0.99427844837495,,0.00766517916164979
200,10,50,0,66,0.3316582914572864,0.9945085443338767,,0.00789657242879916
200,10,50,0,67,0.33668341708542715,0.9947224011476616,,0.008111586995201711
200,10,50,0,68,0.3417085427135678,0.9949219198800728,,0.008312144181198787
200,10,50,0,69,0.34673366834170855,0.9951087234299395,,0.008499883551990214
200,10,50,0,70,0.35175879396984927,0.9952842010673354,,0.008676208171808315
200,10,50,0,71,0.35678391959798994,0.9954495454203477,,0.008842322152328764
200,10,50,0,72,0.36180904522613067,0.9956057832551473,,0.00899926187456537
200,10,50,0,73,0.36683417085427134,0.9957538011435081,,0.009147922005857878
200,10,50,0,74,0.37185929648241206,0.9958943669107955,,0.009289077225715911
200,10,50,0,75,0.3768844221105528,0.9960281475943286,,0.009423400406221003
200,10,50,0,76,0.38190954773869346,0.9961557245097684,,0.009551477856702247
200,10,50,0,77,0.3869346733668342,0.996277605915952,,0.009673822132392134
200,10,50,0,78,0.3919597989949749,0.9963942376811873,,0.009790882817264021
200,10,50,0,79,0.3969849246231156,0.9965060122831146,,0.009903055618734419
200,10,50,0,80,0.4020100502512563,0.9966132764161839,,0.010010690052639885
200,10,50,0,81,0.40703517587939697,0.9967163374334799,,0.010114095948656225
200,10,50,0,82,0.4120603015075377,0.9968154688108667,,0.010213548966820286
200,10,50,0,83,0.4170854271356784,0.9969109147895137,,0.010309295283370806
200,10,50,0,84,0.4221105527638191,0.9970028943268201,,0.010401555577623615
200,10,50,0,85,0.4271356783919598,0.9970916044640589,,0.010490528429563035
200,10,50,0,86,0.4321608040201005,0.9971772232013704,,0.010576393219882758
200,10,50,0,87,0.4371859296482412,0.9972599119559131,,0.010659312609150564
200,10,50,0,88,0.44221105527638194,0.9973398176668182,,0.010739434660468339
200,10,50,0,89,0.4472361809045226,0.997417074600385,,0.010816894659634245
200,10,50,0,90,0.45226130653266333,0.9974918059005597,,0.010891816678318865
200,10,50,0,91,0.457286432160804,0.9975641249226265,,0.010964314918575
200,10,50,0,92,0.4623115577889447,0.9976341363821689,,0.011034494871042872
200,10,50,0,93,0.46733668341708545,0.99770193734643,,0.011102454314246083
200,10,50,0,94,0.4723618090452261,0.9977676180910193,,0.011168284178133826
200,10,50,0,95,0.47738693467336685,0.997831262841468,,0.011232069291543228
