tensor_type,n_sites,dim,N,A,B,C,seed,Z_est,Z_std,Z_true,rel_error,time_seconds
diagexp,16,3,100000,50,100,20,101,9.508752675323608e-08,8.781940070365244e-07,1.0000677333820351,0.9999999049189134,0.9837820529937744
diagexp,16,3,100000,50,200,10,11,2.691948968445766e-10,3.220875677094001e-09,1.0000677333820351,0.9999999997308233,0.9461040496826172
diagexp,16,3,100000,50,200,10,23,3.2473722594675234e-11,3.7526194610680456e-10,1.0000677333820351,0.9999999999675284,0.9473538398742676
diagexp,16,3,100000,50,200,10,42,5.501403450229856e-09,7.778107361377147e-08,1.0000677333820351,0.999999994498969,0.9482731819152832
diagexp,16,3,100000,50,200,10,77,1.1933106358750238e-10,1.6796209255986682e-09,1.0000677333820351,0.9999999998806771,0.9761419296264648
diagexp,16,3,100000,50,200,10,101,1.158893584329394e-13,9.261241725181408e-13,1.0000677333820351,0.9999999999998841,0.9552497863769531
diagexp,16,3,100000,100,5,200,11,20.59578893175187,46.053364443524444,1.0000677333820351,19.594394003795028,1.5646131038665771
diagexp,16,3,100000,100,5,200,23,44.41309297692793,96.76450378710021,1.0000677333820351,43.41008493167904,1.541851282119751
diagexp,16,3,100000,100,5,200,42,46.58473015285115,104.0972340821013,1.0000677333820351,45.58157502523417,1.5336918830871582
diagexp,16,3,100000,100,5,200,77,42.335218843551495,90.00362563743825,1.0000677333820351,41.332351530212854,1.5313119888305664
diagexp,16,3,100000,100,5,200,101,2.924090272144285,3.973858498634879,1.0000677333820351,1.9238922270350416,1.5587248802185059
diagexp,16,3,100000,100,10,100,11,0.8550341911511898,2.2790536052040293,1.0000677333820351,0.1450237192838629,1.2557120323181152
diagexp,16,3,100000,100,10,100,23,5.366653509210066,13.294571640890235,1.0000677333820351,4.3662900322372,1.3558578491210938
diagexp,16,3,100000,100,10,100,42,0.052196598190432965,0.12662361528209473,1.0000677333820351,0.9478069370222413,1.2503960132598877
diagexp,16,3,100000,100,10,100,77,1.340591072493583,2.547990769507567,1.0000677333820351,0.34050027587627885,1.2467010021209717
diagexp,16,3,100000,100,10,100,101,0.05329760092217948,0.1373621356392311,1.0000677333820351,0.9467060088600826,1.2722282409667969
diagexp,16,3,100000,100,20,50,11,0.027588501693138978,0.10638541499709926,1.0000677333820351,0.9724133668428238,1.1062500476837158
diagexp,16,3,100000,100,20,50,23,266.35549629479465,1190.9427058893364,1.0000677333820351,265.3374563581129,1.1006639003753662
diagexp,16,3,100000,100,20,50,42,0.001215012852697945,0.0030945666555205003,1.0000677333820351,0.9987850694386579,1.0924859046936035
diagexp,16,3,100000,100,20,50,77,0.5615295233364753,2.0500647987528486,1.0000677333820351,0.43850850838123595,1.1192967891693115
diagexp,16,3,100000,100,20,50,101,0.007130604742522588,0.02937291310630895,1.0000677333820351,0.9928698782047409,1.109705924987793
diagexp,16,3,100000,100,25,40,11,0.09713120189196181,0.42511189462904175,1.0000677333820351,0.902875376687254,1.0685558319091797
